CityName,Lat,Lon
נוף הגליל,32.7023065,35.3183216
כפר כנא,32.7459862,35.3398025
זבולון,31.7579901,35.2185921
בועיינה נוג'יידאת,,
קרית מלאכי,31.7311777,34.7448072
מגדל העמק,32.6765744,35.2413237
באר שבע,31.2457442,34.7925181
נתיבות,31.4213546,34.5884252
צפת,32.9646301,35.502451
אופקים,31.3125831,34.6208537
באר טוביה,31.7338758,34.7262903
צאלים,31.2036632,34.5338387
אשכול,31.9290204,34.8570382
ערד,31.2599717,35.1951218
אילת,29.5569348,34.9497949
נתניה,32.3073499,34.8628611
מצדה,31.3156403,35.3538943
טבריה,32.7938522,35.5328566
גשר,32.6208275,35.5516051
לוד,31.9489012,34.8884857
גבעת שמואל,32.0769463,34.8524656
קדומים,32.0543431,34.7515393
נווה זוהר,31.1529016,35.365301
עין גדי,31.4523959,35.3848241
בני נצרים,31.140986,34.3147298
קרית שמונה,33.2074733,35.5707828
שוהם,31.9968113,34.9464444
חוף השרון,32.2137734,34.8219724
רביד,32.8515851,35.4634262
עמק הירדן,32.6883072,35.5899206
קוממיות,31.6619651,34.7297701
כפר חב''ד,31.9928956,34.8533234
הוד השרון,32.1561974,34.8930354
אלישמע,32.1519602,34.9279083
נחל שורק,31.785122,34.9134406
שער הנגב,31.516709,34.6633761
קדימה צורן,32.2764459,34.9125436
חריש,32.471165,35.0687619
מצפה רמון,30.6119687,34.8012169
תל שבע,31.2456487,34.8577683
שגב שלום,31.2008757,34.8400872
ערערה בנגב,31.1595078,35.0230464
מרכז מיר''ב,32.646139,34.9649149
בנימינה גבעת עדה,32.5167198,35.0035515
ג'סר א זרקא,32.5377455,34.9113701
אבטין,31.2768804,34.8836718
זמר,32.36221,35.0325131
שפרעם,32.8045765,35.1723866
מזרעה,32.9833034,35.098342
בית שאן,32.4967519,35.4973022
קצרין,32.9903515,35.6865282
מבוא חמה,32.7363463,35.6556132
מעלה אפרים,,
מירון,32.9886409,35.440278
חצור הגלילית,32.9791697,35.543327
מנרה,33.195939,35.5446083
שקד,31.2653242,35.2202838
תל חי,33.2337137,35.578034
כפר סאלד,33.1946879,35.657851
גונן,33.1238763,35.6462866
מלכיה,33.0992486,35.5116985
דפנה,33.2303715,35.6392634
שניר,33.2410034,35.6781947
אבו סנאן,32.958648,35.1716603
ירכא,32.9548871,35.2087895
קרית מוצקין,32.8363747,35.0752109
ביתר עילית,31.696834,35.097641
בית חורון,32.1146842,34.8135017
בית אל,32.0820041,34.8088254
כוכב יעקב,,
אעבלין,32.8209166,35.19133
קרית אונו,32.0581072,34.8580937
נחליאל,32.4446424,34.9266889
נירית,32.1466075,34.9843952
כפר יהושע,32.6820586,35.1522509
גלעד,32.557279,35.0757127
נווה אילן,31.8761876,34.7314056
בית מאיר,31.7938835,35.0360826
קרית יערים,31.8035128,35.1012545
מצפה יריחו,,
הגליל העליון,32.9810078,35.5560099
דן,33.2400913,35.6530878
אום אל פחם,32.5158385,35.152491
טנא,32.1715263,34.8574659
קרית ארבע,31.7137016,34.9819699
מסעדה,33.2312137,35.7574829
כרמל,32.7866144,34.9803096
הר חברון,31.6119756,34.7784898
כפר עציון,31.7451343,35.2222845
מגאר,32.8869441,35.406944
פסוטה,33.0484375,35.3100248
ראמה,32.9379719,35.3675664
סח'נין,32.8638052,35.3023184
תעשיון בר לב,,
יאנוח ג'ת,32.9736638,35.2328501
נמל תעופה בן גוריון,32.0004041,34.8704796
נצרת,32.7046364,35.2971854
עין מאהל,32.7214225,35.3528191
שדרות,31.526474,34.5969696
אספר,32.1324336,34.8871974
תקוע,32.0906242,34.8839799
עמנואל,31.6669558,34.5927448
בית דגן,32.001945,34.8301626
נווה דניאל,,
חמד,31.6629483,34.5673052
רהט,31.3933637,34.7546784
אלון מורה,32.2305463,35.3292144
כסיפה,31.2465374,35.0930574
כפר ורדים,32.9972507,35.2725342
ג'וליס,32.9430618,35.1869431
תפרח,31.3259595,34.6825129
טירה,32.2346856,34.9544553
ג'ת,32.3988067,35.0375429
כפר קרע,32.5029914,35.0504995
אזור,32.0282087,34.802593
רמת השרון,32.1431276,34.8380853
מרום הגליל,33.0474847,35.4880453
יציץ,31.8623432,34.8629537
יסודות,31.8149319,34.8661654
קלנסווה,32.2848603,34.9801701
שומרון,31.7819737,35.2144562
פטיש,31.3273849,34.5602722
רמת הנגב,30.8493945,34.7789687
כפר קאסם,32.1147143,34.9755998
מעלה מכמש,,
צופים,31.9463245,34.8167432
באר יעקב,31.9443532,34.8398648
אמציה,31.5324669,34.9143066
ניר צבי,31.951381,34.8609717
עץ אפרים,30.5912609,34.7567139
עין נקובא,31.79388,35.1204657
נס הרים,31.7444618,35.0579576
נטף,31.8320125,35.0679987
גוש עציון,32.0251795,34.7627793
באקה אל ע'רביה,32.4172042,35.0409437
ערערה,32.4965507,35.0955581
הר עמשא,31.330998,35.096784
נהלל,32.6900631,35.1968485
כוכב יאיר,32.2201627,34.993953
שבלי,32.6937221,35.3960008
הר גילה,32.1551468,34.8954652
נוקדים,31.3049236,35.2742358
נופים,31.8966909,34.9848191
ירוחם,30.9888033,34.9250975
כפר יונה,32.314504,34.9321169
בסמת טבעון,32.7362276,35.1546502
מזכרת בתיה,31.8422092,34.8560446
כפר גלים,32.7665815,34.9593308
ביר אל מכסור,32.7779335,35.2221609
נעלה,31.9065952,34.809064
אורנית,32.7050952,35.1637548
מגידו,32.5786915,35.1806937
קדר,,
נורדיה,32.31478,34.8961822
בית אריה,31.9424747,34.8755207
פסגות,31.7478646,34.9959199
בסמ''ה,32.5323092,35.1048328
הרדוף,32.7641117,35.1728315
ג'דידה מכר,,
כעביה טבאש חג'אג'רה,32.7488538,35.1840965
בני עי''ש,31.7891954,34.7605995
אלון שבות,,
עמק יזרעאל,32.597459,35.2458839
מטה יהודה,31.8422517,34.9689726
חמדת,32.9488949,35.4245296
תעשיות שער הנגב,,
נחל עוז,31.4724074,34.4982114
מעלות תרשיחא,33.0145083,35.2848195
להבים,31.3703233,34.8136886
נס ציונה,31.9295577,34.7990609
מצפה אילן,32.461529,35.0691813
גני תקווה,32.0604256,34.8760954
עוזייר,32.8076327,35.2649953
בית ברל,32.2025325,34.9266038
ציפורי,32.7464149,35.2815976
גיתה,32.9672482,35.249074
חורפיש,33.01737,35.3469551
מעלה עמוס,31.7944097,34.8181481
עמק המעיינות,32.5350964,35.5182977
יפיע,32.6842227,35.2754584
מכמנים,32.9061108,35.3287602
טל אל,32.9260592,35.1746458
זרזיר,32.7274275,35.2133545
גבעתיים,32.0729606,34.8113279
קרית נטפים,,
אלפי מנשה,,
בית חולים פורייה,,
עין שריד,32.2741205,34.9353718
עלמון,32.7050793,35.1643467
מנשית זבדה,32.705463,35.1924
ג'יש,32.8598226,35.2938151
בת חפר,32.3345015,35.012351
קרית שדה התעופה,33.2133046,35.5929008
חוף אשקלון,31.6275627,34.5856382
עין כרם בי''ס חקלאי,,
צביה,32.0859818,34.8829957
בית ג'ן,32.9644737,35.3781433
כיסרא סומיע,32.963851,35.292041
עספיא,32.7190079,35.0650524
נחף,32.9345686,35.31763
דייר אל אסד,,
קסר א סיר,31.082224,34.989934
אשלים,30.9638905,34.7002742
כלנית,32.8749932,35.4527711
בית זית,31.7825806,35.1593248
בית אלעזרי,31.8460836,34.8030534
עראמשה,33.0886072,35.2299769
קרית טבעון,32.7161543,35.126841
חלץ,31.5774293,34.6575334
טורעאן,32.7772712,35.3725219
שתולה,33.084763,35.3143141
מכמורת,32.4062774,34.8728998
חלוץ,32.0127061,34.7644997
עומר,31.2659365,34.847616
עזריאל,32.2629094,34.9712077
עלמה,33.0521283,35.4988072
כאוכב אבו אל היגא,32.8309185,35.2494826
פוריידיס,32.5988242,34.9542319
מגל,32.38522,35.0351579
סאג'ור,32.9419893,35.3421983
מג'ד אל כרום,32.9225771,35.2579504
ביענה,32.8056259,35.3646736
תרדיון,32.048166,34.7927575
חולתה,33.0511117,35.6091616
רמת רחל,31.7387105,35.2183447
פלמחים,31.9334124,34.7072589
כיסופים,31.3741608,34.3994488
תלמי יפה,31.6168578,34.6132893
גורן,33.0563927,35.2369919
אבירים,33.0386467,35.2871399
יעד,32.8782597,35.2435683
אשבל,32.876801,35.3049739
מנוף,32.8541336,35.2367706
גאולים,31.7595534,35.2196723
המעפיל,32.3783322,34.9839792
בר יוחאי,32.9970032,35.4481169
מרחב עם,30.8886192,34.828885
כרם שלום,31.2277096,34.2839544
אוהד,31.2377429,34.4304539
תלמים,31.5635578,34.6720813
מעברות,32.3639465,34.9046905
רגבים,32.5240949,35.0345429
ראס אל עין,32.9158041,35.3726649
שתולים,31.7719562,34.683597
אלומות,32.7069863,35.5462845
אל עריאן,32.4979223,35.1255776
א טייבה,32.2671249,35.0089029
כפר זיתים,32.8106577,35.4637873
ניצני סיני,30.903912,34.3968932
שדות ים,32.4921593,34.8933053
גשור,32.8191803,35.716008
הושעיה,32.7585699,35.2932906
פרי גן,31.2228545,34.3528747
חניתה,33.0874108,35.1733471
אשכולות,32.8066037,34.9810992
מתת,33.0415441,35.3598303
גן יבנה,31.787109,34.7096635
חזון,32.9067724,35.394977
גזית,32.6382136,35.446739
נטור,32.8538055,35.7514617
חורה,31.2972468,34.9379061
נחלה,31.657961,34.7949816
פקיעין,32.9772377,35.3339889
עילוט,32.7163849,35.2594337
לקיה,31.324666,34.8661185
פלך,32.9338767,35.2335678
כפר הס,32.2457804,34.9339746
פארק תעשיות קדמת גליל,32.7847157,35.4634939
כפר רתמים,31.056922,34.715087
אכסאל,31.7808994,35.0514469
חמאם,32.8309704,35.5017798
גדיש,32.5588503,35.2448954
עיילבון,32.8378919,35.4027772
אל רום,33.1796457,35.7721224
איתן,31.5728416,34.7487221
אור עקיבא,32.5090151,34.9195677
כפר ברוך,32.6460182,35.1930067
שייח' דנון,32.9943175,35.1479211
מבוא חורון,31.855823,35.003641
מנחמיה,32.6670217,35.5555869
חשמונאים,32.0823307,34.8113141
מיתר,31.3270854,34.9384389
כפר כמא,32.721053,35.4407705
הררית,32.8457853,35.369171
נאעורה,32.6140155,35.3903478
אביטל,32.5578557,35.3063551
גן יאשיה,32.3506691,34.9954017
שלומי,33.0760504,35.1485842
קדרון,31.8150988,34.7976591
עבדון,33.0479451,35.1794373
הילה,32.8098037,35.0700465
הגלבוע,31.9585511,34.7893839
מלכישוע,32.4385275,35.4130069
אלוני הבשן,33.0441337,35.83924
שפיר,31.6970563,34.7284254
לכיש,31.5608984,34.8410694
ריינה,32.721222,35.3175348
סולם שונם,32.606665,35.333841
בית לחם הגלילית,32.7345558,35.1890555
בית רימון,32.7819472,35.3277836
רבדים,31.7730474,34.8153077
רם און,32.5272379,35.259032
שמרת,32.9504776,35.0965233
לוחמי הגיטאות,32.0372187,34.8960147
מעלה עירון,32.5494975,35.1544857
חספין,32.9888823,35.6818339
סלעית,32.0442503,34.8906095
בית אורן,32.730556,35.005556
רמות מאיר,31.8745635,34.8558152
מצובה,33.0629442,35.1570974
גילת,31.329171,34.6516508
שדות נגב,31.4310765,34.5944235
ברכה,31.7310483,34.7560684
עין קנייא,33.2360284,35.731055
מג'דל שמס,33.2684288,35.769371
בני יהודה,32.7984155,35.6902145
ביר הדאג',31.0262625,34.7031024
מרחבים,31.0750937,35.039115
קרני שומרון,,
שומריה,31.4317698,34.8857795
טובא זנגריה,32.9663198,35.5944243
בוקעתא,33.20076,35.7779892
אל עזי,31.7189244,34.8142702
פדואל,,
טייבה,32.2671249,35.0089029
נווה שלום,31.8175068,34.9781914
ארז,31.5605003,34.5666313
כפר ברא,32.1310918,34.9703305
מנשה,31.7594342,35.2199906
בני שמעון,31.238572,34.6952959
אליכין,32.4079533,34.9248732
מצליח,31.9061802,34.8717789
שדה אליהו,32.4405328,35.5149917
יואב,31.7627132,35.2169773
זרועה,31.4593766,34.6235081
ראש פינה,32.968215,35.5438245
בני דקלים,31.5174853,34.9199141
קדמה,31.7007444,34.7751348
נחשונים,32.0614545,34.9492529
בית יהושע,32.2626037,34.860233
תל מונד,32.2536471,34.9185387
מפעלי כנות,,
נס עמים,32.9656707,35.1211467
לוזית,31.6877948,34.8877384
מסילת ציון,31.8018055,35.0115252
נווה מיכאל,31.6729774,35.0059119
נחם,31.7665744,35.0039498
אלמגור,32.9139417,35.603248
פני חבר,,
קדמת צבי,33.0297367,35.6970294
עמיר,33.1787718,35.620776
מעיליא,33.0280627,35.25833
כפר רופין,32.4581631,35.556773
אבן יהודה,31.7815371,35.2179147
זוהר,31.5956483,34.6937036
נחושה,31.6287914,34.9522836
מצדות יהודה,,
כברי,33.0214987,35.1485013
כפר חרוב,32.7625813,35.6628467
מפעלי נחם הר טוב,,
מפעלים אזוריים צמח,32.703594,35.586706
ע'ג'ר,33.2721727,35.6239112
נצר חזני,31.8216134,34.8624802
אדורה,32.2916738,34.8469084
בארי,31.4241619,34.4911156
משואות יצחק,31.7023455,34.6898673
קלע,31.9838746,34.7612591
כרמי צור,,
אזור תעסוקה מיתרים,,
נגוהות,31.500571,34.942379
גדעונה,32.5487479,35.359246
מזור,32.0523036,34.923418
כפר סירקין,32.0777377,34.9235073
חרוצים,32.2275023,34.8641079
גולן,32.1452402,34.8320889
משמר הנגב,31.3641285,34.7186798
גדות,33.0180702,35.6189207
נתיב העשרה,31.5716799,34.5395488
כפר החורש,32.7013318,35.2741896
דריג'את,31.3008475,35.0758677
קדרים,32.8984224,35.4737461
שוקדה,31.4216668,34.5253818
גבעת ח''ן,32.1685932,34.876063
נאות סמדר,30.0486435,35.0257351
שדות מיכה,31.7214757,34.9206369
יד בנימין,31.7978401,34.8216119
לבנים,31.6649271,34.5639058
שדי חמד,32.1598443,34.9435452
רמות,31.81561,35.1954938
כנף,32.8700272,35.6982707
רגבה,32.9779642,35.0996706
רשפים,32.4818532,35.4775438
חבל אילות,29.5878322,34.8862133
ראס עלי,32.7721199,35.1542287
בן זכאי,31.8568839,34.729583
נוב,32.832269,35.7831891
תל קציר,32.7051904,35.6178217
שחרות,29.9036921,34.9992198
נען,31.8837553,34.8570894
שילה,31.7832623,35.2119071
מעלה לבונה,,
מעלה גמלא,32.8899257,35.684851
יהל,30.0819416,35.1287689
אשדות יעקב איחוד,32.6581629,35.5811432
צור משה,32.2978073,34.9135462
ורד יריחו,,
יד נתן,31.6528819,34.7055051
ביצרון,31.7950527,34.7392791
רוויה,32.4492455,35.4727211
דחי,32.6203995,35.3449947
עראבה,32.8486259,35.3358268
אור הגנוז,33.005079,35.4475065
מפעלים אזוריים הגליל העליון,,
ג'לג'וליה,32.1517984,34.9547736
קשת,32.980733,35.8085857
א סייד,31.2811911,34.9317593
טירת צבי,32.4218582,35.5279708
גבעת יואב,32.7967624,35.681303
קיסריה,32.505968,34.9062151
אלי עד,32.8046915,35.7341741
שובל,31.4134052,34.743322
גשר הזיו,33.0394679,35.1109814
בית קמה,31.4475406,34.7622872
אבני איתן,32.8246384,35.7667337
יד מרדכי,31.5886771,34.5589997
מיצר,32.7686851,35.7369807
מפלסים,31.5026787,34.5621232
מטה אשר,32.9148268,35.1215931
מולדה,31.2582313,34.9824198
מרום גולן,33.1321192,35.7773161
אודם,33.1943741,35.7483145
עתניאל,31.7622976,35.2219756
יקנעם,32.6480601,35.0943545
עין ראפה,31.7901732,35.1162744
ערבות הירדן,,
גבעת ברנר,31.8675206,34.8004909
אניעם,32.9568708,35.7397621
צור הדסה,31.7156945,35.0948306
יעל,32.5519235,35.3079001
יונתן,32.9384707,35.794963
ביריה,32.9775883,35.5006493
מגדל,32.8387154,35.4993634
יטבתה,29.8962318,35.0600524
חד נס,32.928396,35.6429709
חוף הכרמל,32.8056871,34.9551756
